ticker,exchange,industry,companyType,noShareholders,foreignPercent,outstandingShare,issueShare,establishedYear,noEmployees,stockRating,deltaInWeek,deltaInMonth,deltaInYear,shortName,industryEn,industryID,industryIDv2,website,datime
QHW,UPCOM,Thực phẩm và đồ uống,CT,429,0.002,8.0,8.0,2004.0,304,,-0.016,-0.076,-0.034,Nước khoáng Quảng Ninh,Food & Beverage,216,3537,http://www.nuockhoangquangninh.com.vn,2312091722
PXL,UPCOM,Bất động sản,CT,11482,0.001,82.6,82.7,2007.0,23,2.5,0.028,0.119,0.561,KCN Dầu khí Long Sơn,Real Estate,336,8633,https://www.longsonpic.vn,2312091722
QHD,HNX,Hàng & Dịch vụ Công nghiệp,CT,417,0.003,5.5,5.5,2008.0,179,,-0.02,-0.015,0.076,Que hàn Việt Đức,Industrial Goods & Services,185,2727,https://viwelco.com.vn,2312091722
PXS,UPCOM,Xây dựng và Vật liệu,CT,2950,0.106,60.0,60.0,1983.0,708,2.3,-0.02,-0.041,0.151,Lắp máy Dầu khí,Construction & Materials,181,2357,http://www.pvc-ms.vn,2312091722
QNC,UPCOM,Xây dựng và Vật liệu,CT,1647,0.155,59.9,60.0,2005.0,913,2.5,0.005,0.011,0.508,Xi măng Quảng Ninh,Construction & Materials,180,2353,http://www.qncc.vn,2312091722
QCC,UPCOM,Xây dựng và Vật liệu,CT,143,0.008,1.3,1.5,2002.0,19,,-0.17,-0.105,0.28,Đầu tư Xây dựng và Phát triển Hạ tầng Viễn Thông,Construction & Materials,181,2357,http://www.qtc.vn,2312091722
QNS,UPCOM,Thực phẩm và đồ uống,CT,4000,0.162,356.9,356.9,2005.0,3483,3.0,-0.044,-0.098,0.225,Đường Quảng Ngãi,Food & Beverage,218,3577,http://qns.com.vn,2312091722
QSP,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,867,0.008,10.8,10.8,2008.0,9,,0.003,-0.003,0.156,Tân cảng Quy Nhơn,Industrial Goods & Services,193,2777,http://www.quynhonnewport.vn,2312091722
QPH,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,0,0.0,18.6,18.6,2005.0,30,3.3,-0.02,-0.06,-0.047,Thủy điện Quế Phong,Utilities,274,7535,http://www.thuydienquephong.com.vn,2312091722
QNT,UPCOM,Xây dựng và Vật liệu,CT,19,0.0,3.2,3.2,2017.0,11,,0.126,0.105,3.379,Tư vấn và Đầu tư Phát triển Quảng Nam,Construction & Materials,181,2357,,2312091722
QNU,UPCOM,Hàng & Dịch vụ Công nghiệp,CT,288,0.0,6.8,6.8,2010.0,323,,-0.02,-0.041,-0.274,Môi trường Đô thị Quảng Nam,Industrial Goods & Services,199,2799,http://urencoquangnam.com,2312091722
QTP,UPCOM,"Điện, nước & xăng dầu khí đốt",CT,5988,0.012,450.0,450.0,2002.0,846,3.0,0.031,0.05,0.241,Nhiệt điện Quảng Ninh,Utilities,274,7535,http://www.quangninhtpc.com.vn,2312091722
QTC,HNX,Xây dựng và Vật liệu,CT,0,0.17,2.7,2.7,2004.0,72,,0.015,0.022,-0.231,GTVT Quảng Nam,Construction & Materials,181,2357,http://www.cotracoqna.vn,2312091722
