ticker,shareHolder_OwnPercent,datime
SSF,"[{'Trần Thủy Tiên': 0.2756}, {'Nguyễn Thị Xuân Mai': 0.1609}, {'Lê Thị Hồng Vân': 0.102}, {'Phạm Thị Bạch Tuyết': 0.075}, {'Nguyễn Thị Thanh Thao': 0.0322}, {'Nguyễn Thế Duy': 0.0313}, {'Huỳnh Tấn Tài': 0.0143}, {'Nguyễn Thị Lý': 0.005}, {'Nguyễn Đức Bình': 0.0031}, {'Khác': 0.0062}]",2312091655
SSC,"[{'Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam': 0.9641}, {'Đinh Văn Bích': 0.0185}, {'Hồ Văn Đoàn': 0.0058}, {'Nguyễn Hoàng Tuấn': 0.0034}, {'Ngô Văn Giáo': 0.0033}, {'Dương Thành Tài': 0.003}, {'Phạm Quang Dương': 0.0024}, {'Phan Sum': 0.0018}, {'Lê Quang Hồng': 0.0004}, {'Khác': 0.0008}]",2312091655
SSG,"[{'Bùi Việt Hoài': 0.2656}, {'Tổng Công ty Hàng hải Việt Nam - CTCP': 0.2646}, {'Nguyễn Thị Mai Phương': 0.2319}, {'Nguyễn Hải Linh': 0.0926}, {'Tổng công ty Bảo Việt Nhân thọ': 0.0882}, {'Công ty Cổ phần Quản lý Quỹ Tín Phát': 0.0882}, {'Nguyễn Hữu Hoàn': 0.0308}, {'Nguyễn Minh Lộc': 0.023}, {'Chu Thị Hải Phượng': 0.0153}, {'Khác': 0.0467}]",2312091655
SSH,"[{'Đỗ Anh Tuấn': 0.65}, {'Đỗ Văn Trường': 0.06}, {'ĐỖ THỊ ĐỊNH': 0.018}, {'Đỗ Văn Bắc': 0.01}, {'Đỗ Thị Hồng Nhung': 0.01}, {'LƯƠNG THÀNH LONG': 0.004}, {'Bùi Văn Tư': 0.004}, {'NGUYỄN ĐÌNH ĐỨC': 0.002}, {'NGUYỄN THỊ HỒNG HẠNH': 0.0004}, {'Khác': 0.0002}]",2312091655
SSI,"[{'Daiwa Securities Group Inc': 0.1554}, {'Công ty TNHH Đầu Tư Ndh': 0.0632}, {'Nguyễn Duy Linh': 0.0316}, {'Nguyễn Duy Hưng': 0.0071}, {'Nguyễn Mạnh Hùng': 0.0053}, {'Nguyễn Duy Khánh': 0.0022}, {'Nguyễn Thị Thanh Hà': 0.0018}, {'Nguyễn Hồng Nam': 0.0011}, {'Nguyễn Kim Long': 0.0008}, {'Khác': 0.2445}]",2312091655
ST8,"[{'Nguyễn Văn Đại': 0.1225}, {'Phạm Tường Vi': 0.0486}, {'Trịnh Thị Thanh Truyền': 0.0486}, {'Võ Văn Chính': 0.0419}, {'Thân Minh Thuận': 0.0307}, {'Nguyễn Đình Nhu': 0.018}, {'Lê Văn Hà': 0.0082}, {'Hoàng Thị Thanh Hoa': 0.0078}, {'Lê Ái Tú': 0.0063}, {'Khác': 0.0155}]",2312091655
SSN,"[{'NGUYỄN NHÂN KIỆT': 0.25}, {'Nguyễn Trọng Trí': 0.0808}, {'Võ Thị Thủy': 0.0729}, {'Nguyễn Thị Tuyết Sương': 0.0722}, {'Trần Minh Tính': 0.0515}, {'CÔNG TY CỔ PHẦN ĐẦU TƯ SPX ': 0.05}, {'Hàn Hồng Hạnh': 0.0499}, {'Nguyễn Thị Vỹ Phượng': 0.0495}, {'Nguyễn Khải Hưng': 0.048}, {'Khác': 0.1727}]",2312091655
SSM,"[{'HỒ THÁI HÒA': 0.2043}, {'NGUYỄN VĂN TÌNH': 0.1707}, {'Nguyễn Thành Công': 0.1488}, {'Võ Văn Tri': 0.0503}, {'Phạm Đình Hồng': 0.0502}, {'Phan Anh Phi': 0.0176}, {'Andreas Karall': 0.0125}, {'Trương Công Toàn': 0.0104}, {'Trịnh Công Toàn': 0.0104}, {'Khác': 0.0175}]",2312091655
STB,"[{'Trầm Trọng Ngân': 0.0473}, {'Dương Công Minh': 0.0332}, {'Trầm Khải Hòa': 0.0177}, {'Trầm Bê': 0.0147}, {'Trầm Thuyết Kiều': 0.0144}, {'Huỳnh Quế Hà': 0.013}, {'Phan Huy Khang': 0.0119}, {'Dương Thị Liêm': 0.0062}, {'Dương Hoàng Quỳnh Như': 0.0051}, {'Khác': 0.1341}]",2312091655
STC,"[{'Công ty TNHH MTV Nhà xuất bản Giáo dục Việt Nam': 0.5254}, {'Từ Trung Đan': 0.0662}, {'Nguyễn Ngọc Trâm': 0.0491}, {'Từ Văn Sơn': 0.0048}, {'Huỳnh Bá Vân': 0.0036}, {'Lê Kế Đức': 0.0016}, {'Ngô Trần Vinh': 0.0015}, {'Trần Văn Hưng': 0.0014}, {'Đỗ Thành Lâm': 0.0009}, {'Khác': 0.0749}]",2312091655
STG,"[{'Công ty Cổ phần Giao nhận và Vận vhuyển In Do Trần': 0.7403}, {'Psa Cargo Solutions Vietnam Investments Pte. Ltd.': 0.3}, {'Nguyễn Thị Vân': 0.0071}, {'Võ Phúc Nguyên': 0.004}, {'Trịnh Thị Hương': 0.0039}, {'Hoàng Quyến': 0.0011}, {'Đặng Vũ Thành': 0.0009}, {'ĐẶNG VŨ THÀNH': 0.0009}, {'Đoàn Thị Đông': 0.0009}, {'Khác': 0.0026}]",2312091655
STH,"[{'Công ty Cổ phần Thương mại Thái Hưng': 0.1846}, {'Nguyễn Thị Quy': 0.1344}, {'NGUYỄN THỊ VINH': 0.1105}, {'Bạch Phương Vinh': 0.1105}, {'Nguyễn Viết Cường': 0.0495}, {'Nguyễn Thị Lan Hương': 0.0077}, {'Nguyễn Thượng Nguyên': 0.0012}]",2312091655
STK,"[{'Công ty Cổ phần Tư vấn Đầu tư Hướng Việt': 0.2011}, {'Đặng Mỹ Linh': 0.1442}, {'Đặng Triệu Hòa': 0.1387}, {'Đặng Hướng Cường': 0.0709}, {'Tăng Kiến Nghiệp': 0.0546}, {'Phan Như Bích': 0.0008}, {'Lê Anh Tuấn': 0.0002}, {'Nguyễn Phương Chi': 0.0001}, {'Khác': 0.0583}]",2312091655
SVC,"[{'Tổng Công ty Bến Thành - TNHH MTV': 0.4079}, {'Võ Hiển': 0.0031}, {'Nguyễn Bình Minh': 0.0027}, {'Lê Điền': 0.0026}, {'Nguyễn Phúc Hưng': 0.0018}, {'Hoàng Thị Thảo': 0.0011}, {'Tạ Phước Đạt': 0.0011}, {'PHAN DƯƠNG CỬU LONG': 0.0003}, {'Phan Thị Hồng Thắm': 0.0002}, {'Khác': 0.1484}]",2312091655
STS,"[{'Công ty TNHH Liên Hợp Xây Dựng Vạn Cường': 0.247}, {'Hồ Sỹ Dũng': 0.1249}, {'Công ty Cổ Phần Đầu Tư Lavida Holding': 0.1157}, {'Ngô Thị Thanh Huyền': 0.051}, {'Trần Quý Dương': 0.0391}, {'Ngô Ngọc Tôn': 0.0267}, {'Nguyễn Công Đoàn': 0.0167}, {'Lê Chí Vũ': 0.0039}, {'Trần Đắc Long': 0.0035}, {'Khác': 0.0302}]",2312091655
SVD,"[{'Vũ Tuấn Phương': 0.1999}, {'Vũ Phương Linh': 0.0363}, {'Trần Kim Phượng': 0.0303}, {'Hoàng Thu Hương': 0.0023}, {'Mai Anh Tuấn': 0.0023}, {'Đặng Văn Tài': 0.0003}, {'Khác': 0.0}]",2312091655
